product_id,category,price,promotion_active,discount_percent,units_sold,inventory_level,day_of_week,day,month,year
1823,Home,1902,No,0,17,251,Friday,19,9,2024
1551,Grocery,2629,Yes,0,14,248,Wednesday,21,12,2024
1015,Grocery,2488,No,0,25,251,Saturday,27,9,2024
1475,Home,293,Yes,5,7,470,Tuesday,16,6,2024
1004,Grocery,2470,Yes,20,37,139,Saturday,5,12,2024
1260,Electronics,1923,No,0,10,228,Friday,10,6,2024
1110,Home,2150,No,0,6,35,Monday,28,5,2024
1481,Home,323,Yes,30,19,20,Tuesday,11,7,2024
1089,Clothing,1769,Yes,20,26,342,Tuesday,8,6,2024
1723,Grocery,112,No,0,13,408,Monday,21,2,2024
1572,Home,295,No,0,16,428,Thursday,6,4,2024
1392,Home,2134,Yes,30,37,413,Tuesday,29,2,2024
1215,Home,1773,Yes,0,34,158,Sunday,5,4,2024
1009,Clothing,2515,Yes,0,33,94,Tuesday,8,11,2024
1596,Electronics,1263,No,0,10,57,Monday,21,11,2024
1982,Home,113,No,0,34,210,Friday,27,10,2024
1930,Personal Care,2403,Yes,15,27,113,Saturday,26,4,2024
1703,Home,1071,Yes,5,51,398,Saturday,17,7,2024
1524,Electronics,2522,Yes,15,9,44,Monday,10,5,2024
1532,Grocery,2935,No,0,36,151,Thursday,30,3,2024
1217,Grocery,567,Yes,15,22,306,Saturday,14,4,2024
1047,Clothing,333,No,0,20,230,Thursday,31,3,2024
1672,Personal Care,1560,Yes,0,33,205,Tuesday,19,12,2024
1717,Grocery,2443,Yes,20,34,37,Monday,8,6,2024
1139,Grocery,137,Yes,15,37,54,Saturday,7,2,2024
1360,Home,1905,No,0,13,397,Monday,13,2,2024
1014,Home,368,No,0,36,424,Monday,15,11,2024
1118,Home,1603,Yes,20,14,56,Monday,11,5,2024
1473,Grocery,1402,No,0,44,498,Saturday,4,10,2024
1235,Grocery,2174,Yes,10,37,327,Monday,23,12,2024
1146,Personal Care,2086,No,0,28,150,Monday,13,12,2024
1334,Clothing,879,Yes,10,38,357,Thursday,26,7,2024
1393,Personal Care,863,No,0,27,431,Sunday,22,4,2024
1728,Clothing,1346,Yes,5,28,88,Thursday,2,2,2024
1391,Personal Care,742,Yes,15,21,261,Wednesday,16,11,2024
1076,Clothing,2072,No,0,43,386,Sunday,17,1,2024
1664,Grocery,2538,Yes,30,33,382,Wednesday,15,10,2024
1849,Electronics,2675,Yes,15,9,252,Tuesday,16,5,2024
1548,Clothing,627,Yes,30,17,79,Thursday,1,12,2024
1731,Home,369,Yes,5,22,441,Thursday,6,1,2024
1714,Personal Care,2240,Yes,5,28,135,Wednesday,23,9,2024
1420,Electronics,2566,Yes,15,32,454,Sunday,17,7,2024
1563,Personal Care,1895,No,0,15,120,Saturday,18,10,2024
1739,Grocery,1455,No,0,28,187,Saturday,24,11,2024
1268,Clothing,923,Yes,15,42,64,Wednesday,9,1,2024
1786,Home,2117,Yes,0,40,245,Wednesday,20,5,2024
